num,maintext,charaimage,backimage,bgm,se,selecttext1,selecttext2,nextscene,animation,generate,nametext
1,ちょっとこの辺で仮眠してこうかな……,nagisa_Live2D/hiro_tatie,clear,,,,,,,,ナギサ
2,いいかな？ヒイロ？,nagisa_Live2D/hiro_tatie,,,,,,,,,ナギサ
3,うん？よくわからんがいいぞ！,nagisa_Live2D/hiro_tatie,,,,,,,,,ヒイロ
4,じゃあ、おやすみ……,nagisa_Live2D/hiro_tatie,,,,,,,nextAnim/nextAnim,,ナギサ
5,………………,/hiro_tatie,,stop,,,,,,,ナギサ
6,…………,/hiro_tatie,,,,,,,/nextAnim,,ナギサ
7,……,/hiro_tatie,,,,,,,,,ナギサ
8,……,/hiro_tatie,,,,,,,nextAnim/nextAnim,,ヒイロ
9,……？,/hiro_tatie,,,,,,,,,ヒイロ
10,…………？？,/hiro_tatie,,,,,,,,,ヒイロ
11,…………ナギサ？,/hiro_tatie,,,,,,,,,ヒイロ
12,…………,/hiro_tatie,,,,,,,,,ヒイロ
13,……しんだのか？,/hiro_tatie,,,,,,,,,ヒイロ
14,勝手に殺すな！！,nagisa_Live2D/hiro_tatie,,,tukkomi,,,,,,ナギサ
15,あ、いきてた,nagisa_Live2D/hiro_tatie,,,,,,,,,ヒイロ
16,寝てただけだから！,nagisa_Live2D/hiro_tatie,,,,,,,,,ナギサ
17,でもなにもしゃべらなくなったぞ,nagisa_Live2D/hiro_tatie,,,,,,,,,ヒイロ
18,そりゃ寝てたからね！,nagisa_Live2D/hiro_tatie,,,,,,,,,ナギサ
19,しんだのとなにがちがうんだ？,nagisa_Live2D/hiro_tatie,,,,,,,,,ヒイロ
20,……死んでないから！！,nagisa_Live2D/hiro_tatie,,,,,,,,,ナギサ
